External_ID,Molecule SMILES,First Sample Reg. Date,SAU Gyr IC50 (µM),SAU Gyr Ki (µM),Sau516 MIC (µg/ml),Sau516  MIC (µM),Mean Human Prot binding (% free),Mean LogD,Determination of pKa HA1,Determination of pKa HA2,Determination of pKa B1,Determination of pKa B2,Sirius pKa
AZ1031,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)c4[nH]nnn4)Br,12/4/2002,0.0683,,>64,,<0.5,2.41,,,,,
AZ1032,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Cl)Cl,12/9/2002,0.0296,0.0194,4,6.25,<1.8,3.88,,,,,
AZ1033,CCc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Cl,1/6/2003,0.0513,,>64,,<0.2,>4.77,,,,,
AZ1034,Cc1cc([nH]c1C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C,1/6/2003,3.01,,,,,>3.42,,,,,
AZ1035,CCOC(=O)c1nnc(s1)N2CCC(CC2)NC(=O)c3cc(c([nH]3)C)Br,1/7/2003,0.236,,,,,>3.11,,,,,
AZ1036,CCOC(=O)c1csc(n1)N2CCC(CC2)NC(=O)c3cc(c([nH]3)C)Br,1/7/2003,0.363,,,,,3.16,,,,,
AZ1037,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3c(cccn3)Cl)Br,1/9/2003,15,,,,,,,,,,
AZ1038,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nnc(s3)C(=O)O)Br,1/10/2003,0.253,,,,,,,,,,
AZ1039,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nc(cs3)C(=O)O)Br,1/10/2003,0.169,,,,,0.43,,,,,
AZ1040,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)N)Br,1/13/2003,0.149,,,,5.333,>3.32,,,,,
AZ1041,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nc(cs3)C#N)Br,1/22/2003,0.411,,,,,,,,,,
AZ1042,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C#N)Br,1/22/2003,0.559,,,,<0.2,,,,,,
AZ1043,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nnnn3C)Br,1/22/2003,4.66,,,,27.33,1.77,,,,,
AZ1044,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)Cc3nccn3C)Br,1/22/2003,>7.42,,,,19,2.15,,,,,
AZ1045,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)OC)Br,1/24/2003,0.328,,,,,,,,,,
AZ1046,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NO)Br,1/24/2003,0.0605,,64,,,,,,,,
AZ1047,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)O)Br,1/24/2003,0.0209,,>64,,,,,,,,
AZ1048,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NN)Br,1/24/2003,0.0843,,32,,6,,,,,,
AZ1049,CCc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Cl)Cl,1/24/2003,0.0291,,4,,,,,,,,
AZ1050,Cc1c(cc([nH]1)C(=O)N(C)C2CCN(CC2)c3cc(cc(n3)Cl)c4[nH]nnn4)Br,1/28/2003,12.8,,,,,,,,,,
AZ1051,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)c4nnn(n4)C)Br,1/28/2003,0.982,,,,,,,,,,
AZ1052,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)C(=O)c3cc4c(cccc4[nH]3)C(F)(F)F)Br,2/3/2003,0.858,,,,,,,,,,
AZ1053,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3nc(cs3)C(=O)N)Br,2/6/2003,0.41,,,,,,,,,,
AZ1054,Cc1c(cc([nH]1)C(=O)OC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Br,2/7/2003,0.0381,,2,,2.667,,,,,,
AZ1055,CCc1c(c([nH]c1C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C)C,2/19/2003,15,,,,,,,,,,
AZ1056,Cc1c(c([nH]c1C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C)Cl,2/19/2003,0.213,,>32,,0,,,,,,
AZ1057,Cc1c(c([nH]c1C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C)C#N,2/19/2003,0.194,,>32,,<0.2,,,,,,
AZ1058,Cc1c(cc([nH]1)C(=O)OC2CCN(CC2)c3cc(cc(n3)Cl)c4[nH]nnn4)Br,2/21/2003,0.0224,,>32,,NV,,,,,,
AZ1059,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)C(=O)c3cc(c([nH]3)C)Br)Br,2/21/2003,1.23,,,,,,,,,,
AZ1060,CCc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)N)Cl)Cl,2/24/2003,0.0341,0.0194,>32,,0.3,,,,,,
AZ1061,CCOC(=O)c1nnc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl,2/26/2003,0.0656,,16,,,,,,,,
AZ1062,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N4CCN(CC4)C)Br,3/3/2003,2.26,,>64,,,,,,,,
AZ1063,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NN(C)C)Br,3/3/2003,0.186,,>64,,,,,,,,
AZ1064,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NOC)Br,3/3/2003,0.0165,0.0217,4,,,,,,,,
AZ1065,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N4CCOCC4)Br,3/3/2003,1.46,,>64,,,,,,,,
AZ1066,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N(C)C)Br,3/3/2003,<0.809,,>64,,0.6667,,,,,,
AZ1067,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C#N)C(=O)C,3/4/2003,3.19,,>64,,,,,,,,
AZ1068,CCc1cc(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C#N,3/4/2003,0.979,,>64,,,,,,,,
AZ1069,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C#N,12/19/2002,<0.122,,,,2,NV,,,,,
AZ1070,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)OC)Br,12/19/2002,1.33,,,,,,,,,,
AZ1071,CCc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C#N)Br,3/7/2003,0.0949,0.0539,8,,<0.3,,,,,,
AZ1072,CCc1c([nH]c(c1CC)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C,3/11/2003,9.7,,>64,,<0.3,,,,,,
AZ1073,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)N)Cl)Cl,3/11/2003,0.0421,0.0269,>64,,1,,,,,,
AZ1074,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C#N)Br,3/11/2003,0.0959,0.0466,>64,,0.2,,,,,,
AZ1075,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)c4[nH]nnn4)Cl)Cl,3/11/2003,0.0265,0.0149,32,,<0.2,,,,,,
AZ1076,Cc1cc(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)C#N,3/11/2003,1.19,0.747,>64,,1.667,,,,,,
AZ1077,Cc1c(c(c([nH]1)C(=O)OC2CCN(CC2)c3cc(cc(n3)Cl)c4[nH]nnn4)Cl)Cl,3/25/2003,0.0137,0.00692,16,,,,,,,,
AZ1078,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)c4n[nH]c(=O)o4)Cl)Cl,3/25/2003,0.0509,0.0478,4,,<0.3,,,,,,
AZ1079,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)c4ncon4)Cl)Cl,4/1/2003,0.578,,,,<0.3,4.37,,,,,
AZ1080,Cc1c(c(c([nH]1)C(=O)OC2CCN(CC2)c3cc(cc(n3)Cl)c4ncon4)Cl)Cl,4/1/2003,0.376,,,,,,,,,,
AZ1081,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)C#N)C(=O)N)Cl)Cl,4/7/2003,0.0467,,>64,,<0.3,,,,,,
AZ1082,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)O)Br,4/14/2003,0.082,,>64,,3,,,,,,
AZ1083,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)O)Cl)Cl,4/14/2003,0.0144,0.0103,64,,<0.3,,,,,,
AZ1084,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)NOC)Br,4/14/2003,0.0793,,8,,1,,,,,,
AZ1085,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)OC)Cl)Cl,4/29/2003,0.217,,,,,,,,,,
AZ1086,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)Cl)Cl)Cl,5/1/2003,<0.898,,,,,,,,,,
AZ1087,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)C(=O)O)Cl)Cl,5/2/2003,<0.00977,0.00764,8,,,0.96,,,,,
AZ1088,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(nc(n3)Cl)OC)Cl)Cl,5/5/2003,1.89,,,,<1.7,,,,,,
AZ1089,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)C(=O)O)Br,5/5/2003,0.066,,,,<0.5,,,,,,
AZ1090,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NOC)Cl)Cl,5/6/2003,0.0118,0.0153,1,,<0.2,3.95,,,,,
AZ1091,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)C(=O)NOC)Cl)Cl,5/9/2003,0.0212,0.0144,2,,<0.3,4.05,,,,,
AZ1092,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCOCC4)C(=O)OC)Cl)Cl,5/12/2003,0.726,,,,,,,,,,
AZ1093,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)C)Cl)Cl,5/13/2003,0.298,,,,,,,,,,
AZ1094,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N(C)OC)Br,5/13/2003,0.328,,,,,,,,,,
AZ1095,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)N)Br,5/13/2003,0.177,,,,,,,,,,
AZ1096,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)N)Cl)Cl,5/13/2003,0.0528,,,,<1.2,,,,,,
AZ1097,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)(=O)C)C(=O)NOC)Cl)Cl,5/14/2003,0.0109,0.0105,4,,2.933,2.18,,,,,
AZ1098,Cc1ccc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N,5/15/2003,6.86,,>64,,2.833,2.64,,,,,
AZ1099,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)Cc3nc(cn3C)NC(=O)OC(C)(C)C)Cl)Cl,5/19/2003,196,,>64,,,,,,,,
AZ1100,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCOCC4)C(=O)NOC)Cl)Cl,5/20/2003,0.0392,,>64,,<0.3,4.28,,,,,
AZ1101,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)/C(=N/O)/C)Cl)Cl,5/21/2003,0.355,,16,,,,,,,,
AZ1102,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)C)Br,5/23/2003,0.565,,,,,,,,,,
AZ1103,Cc1c(c(c([nH]1)C(=O)OC2CCN(CC2)c3cc(cc(n3)Cl)/C(=N/O)/N)Cl)Cl,5/23/2003,0.0176,0.0158,2,,<0.3,4.5,,,,,
AZ1104,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OC)C(=O)NOC)Cl)Cl,6/4/2003,0.0267,0.0177,2.83,,0.5667,3.75,,,,,
AZ1105,CCOc1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)NOC,6/6/2003,0.0247,0.0233,4,,,3.94,,,,,
AZ1106,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)SCC(=O)NC)Cl)Cl,6/6/2003,0.275,,16,,<1.4,,,,,,
AZ1107,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)SCC(=O)NC)Br,6/6/2003,1.34,,32,,,,,,,,
AZ1108,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)(=O)C)C(=O)O)Cl)Cl,6/12/2003,0.0207,0.0161,>64,,0.9333,,,,,,
AZ1109,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ccnc(n3)S(=O)(=O)C)Cl)Cl,6/13/2003,0.365,,>64,,0.6667,2.43,,,,,
AZ1110,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)C)C(=O)NOC)Cl)Cl,6/16/2003,0.0183,0.0155,4,,1.467,,,,,,
AZ1111,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)C3C[C@H](NC3)C(=O)OC)Cl)Cl,6/17/2003,10.4,,>64,,NV,,,,,,
AZ1112,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(cn3C)[N+](=O)[O-])Cl)Cl,6/17/2003,5.23,,64,,,,,,,,
AZ1113,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ccnc(n3)S(=O)C)Cl)Cl,6/18/2003,0.287,,64,,,,,,,,
AZ1114,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)N)Cl)Cl,6/19/2003,<0.849,,16,,,,,,,,
AZ1115,Cc1ccc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NOC,6/19/2003,3.72,,>64,,<0.1,2.31,,,,,
AZ1116,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)N)Cl)Cl,6/19/2003,0.924,,>64,,,,,,,,
AZ1117,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)NC(=O)C)Cl)Cl,6/19/2003,0.201,,>64,,,,,,,,
AZ1118,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)C)NC(=O)C)Cl)Cl,6/19/2003,0.173,,>64,,,,,,,,
AZ1119,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)(=O)C)NC(=O)C)Cl)Cl,6/19/2003,0.14,,>64,,1.033,,,,,,
AZ1120,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)/C(=N/O)/N)Cl)Cl,6/19/2003,0.02,0.0236,4,,<0.1,>4.5,,,,,
AZ1121,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)NC(=O)C)Cl)Cl,6/25/2003,0.19,,>64,,,,,,,,
AZ1122,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)NOC)Cl)Cl,6/26/2003,<0.00977,0.00735,1,,<0.2,,,,,,
AZ1123,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)C3C[C@H](NC3)C(=O)O)Cl)Cl,6/26/2003,129,,>64,,,,,,,,
AZ1124,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCCO)C(=O)O)Cl)Cl,6/30/2003,<0.00977,0.00736,>64,,0.9333,,,,,,
AZ1125,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCCO)C(=O)OC)Cl)Cl,6/30/2003,0.0777,,>64,,,3.73,,,,,
AZ1126,CCCCSc1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,7/8/2003,<0.0119,0.00475,0.5,,,,,,,,
AZ1127,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCCNC(=O)OC(C)(C)C)C(=O)O)Cl)Cl,7/16/2003,<0.00977,0.00519,2,,,,,,,,
AZ1128,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCCNC(=O)OC(C)(C)C)C(=O)NOC)Cl)Cl,7/18/2003,0.0462,,4,,,,,,,,
AZ1129,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)O)Cl)Cl,7/22/2003,0.0107,0.0133,2,,,1.74,,,,,
AZ1130,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)S(=O)C)C(=O)NOC)Cl)Cl,7/22/2003,<0.00977,0.0144,2,,1.033,2.66,,,,,
AZ1131,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)S(=O)(=O)C)C(=O)NOC)Cl)Cl,7/24/2003,<0.0114,0.0135,2.83,,<0.55,,,,,,
AZ1132,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCC(CO)O)C(=O)O)Cl)Cl,7/24/2003,0.153,,>64,,,,,,,,
AZ1133,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ccc(s3)C(=O)OC)Cl)Cl,7/28/2003,0.222,,>64,,,3.51,,,,,
AZ1134,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)(=O)CCNC(=O)OC(C)(C)C)C(=O)NOC)Cl)Cl,7/29/2003,0.0148,0.0201,2,,,,,,,,
AZ1135,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCOC)C(=O)O)Cl)Cl,7/29/2003,0.0113,,64,,,0.24,,,,,
AZ1136,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCSC)C(=O)O)Cl)Cl,7/29/2003,<0.00977,0.0103,16,,<0.6,,,,,,
AZ1137,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCSC)C(=O)NOC)Cl)Cl,7/29/2003,0.0327,0.0207,2,,<0.1,3.68,,,,,
AZ1138,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCN4CCOCC4)C(=O)O)Cl)Cl,7/29/2003,0.074,0.0208,>64,,3.4,0.08,,,,,
AZ1139,CCCCS(=O)(=O)c1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)NOC,8/5/2003,<0.00977,0.00922,NV,,<0.3,3.63,,,,,
AZ1140,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCOC)C(=O)NOC)Cl)Cl,8/5/2003,0.0358,0.039,8,,<0.3,3.13,,,,,
AZ1141,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCO)C(=O)O)Cl)Cl,8/5/2003,0.0104,0.0119,>64,,1.9,-0.19,,,,,
AZ1142,CCCCOc1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,8/5/2003,0.0104,0.0152,4,,<0.4,,,,,,
AZ1143,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)NCCN4CCOCC4)Cl)Cl,5/27/2003,0.182,,,,,,,,,,
AZ1144,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NCCCN4CCOCC4)Cl)Cl,5/28/2003,0.148,,,,,,,,,,
AZ1145,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NCCN4CCOCC4)Cl)Cl,5/28/2003,0.114,,,,<3.1,,,,,,
AZ1146,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NCCCN4CCOCC4)Br,5/28/2003,0.432,,,,,,,,,,
AZ1147,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)NCCN4CCOCC4)Br,5/28/2003,0.539,,,,,,,,,,
AZ1148,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)C(=O)N)Br,5/28/2003,0.0695,,,,,,,,,,
AZ1149,Cc1c(cc([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC)C(=O)NOC)Br,5/28/2003,0.0882,,,,,,,,,,
AZ1150,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(n3C)[N+](=O)[O-])Cl)Cl,6/3/2003,5.09,,>64,,<0.6,,,,,,
AZ1151,CCCCSc1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)NOC,8/7/2003,0.0457,0.0487,>64,,<0.1,,,,,,
